Crop,Problem,State
ARUM,caterpillar,WEST BENGAL
ARUM,caterpillar,ODISHA
ARUM,aphids,WEST BENGAL
ARUM,blight,WEST BENGAL
ARUM,sucking pest,MADHYA PRADESH
Acid Lime,white fly,TAMILNADU
Acid Lime,canker,MAHARASHTRA
Acid Lime,mealybug,WEST BENGAL
Acid Lime,leaf miner,MAHARASHTRA
Acid Lime,scab,WEST BENGAL
African Sarson,aphid,MAHARASHTRA
African Sarson,caterpillar,PUNJAB
African Sarson,stem rot,MAHARASHTRA
African Sarson,yellow,MAHARASHTRA
African Sarson,Powdery mildew,MAHARASHTRA
Almond,pode borer,BIHAR
Almond,aphid,MADHYA PRADESH
Almond,canker,TAMILNADU
Almond,sucking pest,ANDHRA PRADESH
Almond,termite,RAJASTHAN
Aloe Vera,stem rote,WEST BENGAL
Aloe Vera,rust,UTTAR PRADESH
Aloe Vera,aphid,UTTAR PRADESH
Aloe Vera,Anthracnose,TRIPURA
Aloe Vera,aphid,RAJASTHAN
Amarphophallus (SurankandElephant Foot Yam),collar rot,UTTAR PRADESH
Amarphophallus (SurankandElephant Foot Yam),mosaic,KERALA
Amarphophallus (SurankandElephant Foot Yam),leaf spot,KERALA
Amarphophallus (SurankandElephant Foot Yam),collar rot,KERALA
Amarphophallus (SurankandElephant Foot Yam),blight,UTTAR PRADESH
Aonla,blight,RAJASTHAN
Aonla,leaf roller,UTTAR PRADESH
Aonla,yellowing,BIHAR
Aonla,fruit borer,TAMILNADU
Aonla,lichen,HIMACHAL PRADESH
Apple,hail,HIMACHAL PRADESH
Apple,scab,JAMMU AND KASHMIR
Apple,canker,JAMMU AND KASHMIR
Apple,Powdery mildew,HIMACHAL PRADESH
Apple,mosaic,JAMMU AND KASHMIR
Apricot,Powdery mildew,UTTAR PRADESH
Apricot,collar rot,UTTARAKHAND
Apricot,Frosty mildew,RAJASTHAN
Apricot,root rot,KERALA
Apricot,blight,JAMMU AND KASHMIR
Arecanut,die back,KARNATAKA
Arecanut,yellow,KERALA
Arecanut,bud rot,KARNATAKA
Arecanut,fruit rot,TAMILNADU
Arecanut,foot rot,KARNATAKA
Ash Gourd (Petha),mildew,ASSAM
Ash Gourd (Petha),fly,ASSAM
Ash Gourd (Petha),fruit borer,MAHARASHTRA
Ash Gourd (Petha),thrips,TAMILNADU
Ash Gourd (Petha),mosaic,TAMILNADU
Avacado,fungal,KERALA
Avacado,stem borer,TAMILNADU
Avacado,nematodes,TAMILNADU
Avacado,blight,TAMILNADU
Avacado,stem borer,BIHAR
BAJRA NAPIER HYBRID,shoot fly,HIMACHAL PRADESH
BAJRA NAPIER HYBRID,grasshopper,UTTAR PRADESH
BAJRA NAPIER HYBRID,stem borer,JAMMU AND KASHMIR
BAJRA NAPIER HYBRID,smut,UTTAR PRADESH
BAJRA NAPIER HYBRID,rust,HARYANA
Banana,head rot,MAHARASHTRA
Banana,stem rot,WEST BENGAL
Banana,panama wilt,KARNATAKA
Banana,leaf spot,UTTAR PRADESH
Banana,anthracnose,TRIPURA
Barley (Jau),Powdery mildew,MAHARASHTRA
Barley (Jau),termite,RAJASTHAN
Barley (Jau),yellowing,RAJASTHAN
Barley (Jau),root rot,UTTAR PRADESH
Barley (Jau),sucking pest,GUJARAT
Barnyard Millet (KundiraivlliSawan,shoot fly,RAJASTHAN
Barnyard Millet (KundiraivlliSawan,grasshopper,UTTAR PRADESH
Barnyard Millet (KundiraivlliSawan,stem borer,RAJASTHAN
Barnyard Millet (KundiraivlliSawan,smut,MAHARASHTRA
Barnyard Millet (KundiraivlliSawan,rust,RAJASTHAN
Barseem,caterpillar,PUNJAB
Barseem,root rot,UTTAR PRADESH
Barseem,stem rot,PUNJAB
Barseem,root rot,HARYANA
Barseem,caterpillar,MADHYA PRADESH
Bay Leaf,sucking pest,TAMILNADU
Bay Leaf,aphid,WEST BENGAL
Bay Leaf,sucking pest,ODISHA
Bay Leaf,anthracnose,ODISHA
Bay Leaf,blast,WEST BENGAL
Beans,leaf curl,ODISHA
Beans,yellowing,BIHAR
Beans,jassids,ODISHA
Beans,wilt,HIMACHAL PRADESH
Beans,wilt,ODISHA
Beet Root (Garden BeetStock Beet),caterpillars,MADHYA PRADESH
Beet Root (Garden BeetStock Beet),cutworm,TAMILNADU
Beet Root (Garden BeetStock Beet),borer,ANDHRA PRADESH
Beet Root (Garden BeetStock Beet),ants,TAMILNADU
Beet Root (Garden BeetStock Beet),cercospora spot,TAMILNADU
Bell Pepper,fungus,GUJARAT
Bell Pepper,stem rot,UTTAR PRADESH
Bell Pepper,fungal,KERALA
Bell Pepper,Powdery mildew,JHARKAND
Bell Pepper,sucking pest,MAHARASHTRA
Bengal Gram (GramChick PeaKabuliChana),cutworm,UTTAR PRADESH
Bengal Gram (GramChick PeaKabuliChana),blight,RAJASTHAN
Bengal Gram (GramChick PeaKabuliChana),caterpillar,MAHARASHTRA
Bengal Gram (GramChick PeaKabuliChana),wilt,CHHATTISGARH
Bengal Gram (GramChick PeaKabuliChana),fungus,GUJARAT
Ber,sucking pest,UTTAR PRADESH
Ber,termite,RAJASTHAN
Ber,fruit rot,RAJASTHAN
Ber,die back,RAJASTHAN
Ber,mildew,WEST BENGAL
Betel Vine,wilt,ANDHRA PRADESH
Betel Vine,stem rot,WEST BENGAL
Betel Vine,root rot,ASSAM
Betel Vine,blight,ASSAM
Betel Vine,Powdery mildew,ASSAM
Bhindi(OkraLadysfinger),sucking pest,WEST BENGAL
Bhindi(OkraLadysfinger),fungal,HARYANA
Bhindi(OkraLadysfinger),caterpillar,MAHARASHTRA
Bhindi(OkraLadysfinger),termite,HARYANA
Bhindi(OkraLadysfinger),aphids,ODISHA
Bitter Gourd,stem rot,WEST BENGAL
Bitter Gourd,white fly,WEST BENGAL
Bitter Gourd,sucking pest,MADHYA PRADESH
Bitter Gourd,aphid,UTTAR PRADESH
Bitter Gourd,mite,WEST BENGAL
Black Gram (urd bean),mosaic,UTTAR PRADESH
Black Gram (urd bean),sucking pest,MADHYA PRADESH
Black Gram (urd bean),white fly,MADHYA PRADESH
Black Gram (urd bean),caterpiller,ANDHRA PRADESH
Black Gram (urd bean),blight,ANDHRA PRADESH
Bottle Gourd,Anthracnose,UTTAR PRADESH
Bottle Gourd,leaf spot,UTTAR PRADESH
Bottle Gourd,Downy mildew,BIHAR
Bottle Gourd,stem blight,UTTAR PRADESH
Bottle Gourd,Powdery mildew,MADHYA PRADESH
Brinjal,fruit borer,ODISHA
Brinjal,aphid,UTTAR PRADESH
Brinjal,wilting,ODISHA
Brinjal,caterpillars,CHHATTISGARH
Brinjal,stem borer,ODISHA
Broad Bean,blight,WEST BENGAL
Broad Bean,yellow,WEST BENGAL
Broad Bean,downy mildew,WEST BENGAL
Broad Bean,blight,WEST BENGAL
Broad Bean,sucking pest,ANDHRA PRADESH
Broccoli,white rust,ANDHRA PRADESH
Broccoli,leaf spot,JHARKAND
Broccoli,caterpillar,MAHARASHTRA
Broccoli,black rot,BIHAR
Broccoli,cutworm,HIMACHAL PRADESH
Brown Sarson,aphid,BIHAR
Brown Sarson,blight,UTTAR PRADESH
Brown Sarson,mildew,RAJASTHAN
Brown Sarson,stem rot,UTTAR PRADESH
Brown Sarson,aphid,RAJASTHAN
Brussils Sprouts,yellowing,BIHAR
Brussils Sprouts,aphids,MAHARASHTRA
Brussils Sprouts,maggots,UTTAR PRADESH
Brussils Sprouts,cutworm,UTTAR PRADESH
Brussils Sprouts,nematodes,UTTAR PRADESH
Butter Pea (Vegetable),Downy mildew,HARYANA
Butter Pea (Vegetable),Powdery mildew,UTTAR PRADESH
Butter Pea (Vegetable),Pea rust,MAHARASHTRA
Butter Pea (Vegetable),Ascochyta blight,JHARKAND
Butter Pea (Vegetable),White rot,UTTAR PRADESH
Cabbage,wilt,MAHARASHTRA
Cabbage,Downy Mildew,ASSAM
Cabbage,hopper,WEST BENGAL
Cabbage,caterpillar,MAHARASHTRA
Cabbage,caterpillars,MADHYA PRADESH
Capsicum,caterpillar,HARYANA
Capsicum,root rot,HIMACHAL PRADESH
Capsicum,sucking pest,HIMACHAL PRADESH
Capsicum,caterpillar,HIMACHAL PRADESH
Capsicum,fruit borer,KARNATAKA
Cardamom,mosaic,MADHYA PRADESH
Cardamom,leaf spot,MAHARASHTRA
Cardamom,Damping off,KERALA
Cardamom,rhizome rot,KARNATAKA
Cardamom,Leaf blight,KERALA
Carnation,white fly,MAHARASHTRA
Carnation,aphid,HIMACHAL PRADESH
Carnation,aphid,JHARKAND
Carnation,fungus,HIMACHAL PRADESH
Carnation,beetle,JAMMU AND KASHMIR
Carrot,Damping off,RAJASTHAN
Carrot,Downy mildew,HARYANA
Carrot,cottony rot,TELANGANA
Carrot,leaf blight,ODISHA
Carrot,black rot,PUNJAB
Cashew,aphid,ANDHRA PRADESH
Cashew,caterpillar,WEST BENGAL
Cashew,anthracnose,ODISHA
Cashew,powdery mildew,KERALA
Cashew,red rust,TAMILNADU
Castor (Rehri Rendi Arandi),green caterpillar,RAJASTHAN
Castor (Rehri Rendi Arandi),blight,RAJASTHAN
Castor (Rehri Rendi Arandi),termite,RAJASTHAN
Castor (Rehri Rendi Arandi),wilt,GUJARAT
Castor (Rehri Rendi Arandi),white termite,GUJARAT
Cauliflower,black rot,ODISHA
Cauliflower,DOWNY MILDEW,WEST BENGAL
Cauliflower,caterpillar,MAHARASHTRA
Cauliflower,stem rot,ODISHA
Cauliflower,wilt,HIMACHAL PRADESH
Chestnut,aphids,MAHARASHTRA
Chestnut,fruit borer,MAHARASHTRA
Chestnut,stem borer,ANDHRA PRADESH
Chestnut,aphids,UTTAR PRADESH
Chestnut,sucking pest,ANDHRA PRADESH
Chillies,fruit borer,RAJASTHAN
Chillies,mite,ODISHA
Chillies,thirps,ANDHRA PRADESH
Chillies,blight,ASSAM
Chillies,aphids,TAMILNADU
Chinese Cabbage,Downy Mildew,ANDHRA PRADESH
Chinese Cabbage,hopper,MAHARASHTRA
Chinese Cabbage,leaf curl,UTTAR PRADESH
Chinese Cabbage,blight,MAHARASHTRA
Chinese Cabbage,wilt,ANDHRA PRADESH
Cinnamon,die back,KERALA
Cinnamon,blight,MAHARASHTRA
Cinnamon,sucking pest,MADHYA PRADESH
Cinnamon,mites,WEST BENGAL
Cinnamon,caterpillar,ODISHA
Clove,blight,RAJASTHAN
Clove,termite,UTTAR PRADESH
Clove,caterpillar,MAHARASHTRA
Clove,fungus,GUJARAT
Clove,yellowing,RAJASTHAN
Cluster Bean,sucking pest,GUJARAT
Cluster Bean,mildew,ANDHRA PRADESH
Cluster Bean,fungal,MADHYA PRADESH
Cluster Bean,sucking pests,GUJARAT
Cluster Bean,termite,ODISHA
Cocoa,root rot,TAMILNADU
Cocoa,nematodes,TAMILNADU
Cocoa,canker,KERALA
Cocoa,stripe,KERALA
Cocoa,white fly,TAMILNADU
Coconut,red weevil,TAMILNADU
Coconut,stem bleeding,KERALA
Coconut,beetle,ODISHA
Coconut,blight,BIHAR
Coconut,canker,ODISHA
Coffee,mealybug,TAMILNADU
Coffee,antracnose,KARNATAKA
Coffee,rotting,KERALA
Coffee,stem borer,TAMILNADU
Coffee,rust,TRIPURA
Coriander,Powdery mildew,WEST BENGAL
Coriander,Wilt,GUJARAT
Coriander,Stem gall,RAJASTHAN
Coriander,Blight disease,UTTAR PRADESH
Coriander,Stem rot,RAJASTHAN
Cotton (Kapas),blight,MADHYA PRADESH
Cotton (Kapas),leaf curl,TELANGANA
Cotton (Kapas),wilt,HARYANA
Cotton (Kapas),sucking pest,KARNATAKA
Cotton (Kapas),root rot,UTTAR PRADESH
Cowpea (Vegetable),aphids,ODISHA
Cowpea (Vegetable),root rot,KERALA
