Crop,Problem,State,Ans1,Ans2,Ans3,Ans4,Ans5,Time,Crop_w_score
ARUM,caterpillar,WEST BENGAL,RECOMMENDED TO SPRAY TRIAZAPHOS 40 EC  25 ML IN 1 LITRE OF WATER LEAF EATING CATERPILLAR IN ARUM,RECOMMENDED FOR SPRAY CHLORPYRIPHOS 50  CYPERMETHRIN 5 (55 EC)   15 ML  LIT OF WATER,RECOMMENDED FOR SPRAY ETHIPROLE 40  IMIDACLOPRID 40 (80 WG)    1 ML  3 LIT OF WATER,RECOMMENDED  FOR SPRAY DIMETHOATE 30EC  2 ML  LIT OF WATER 1215 DAYS INTERVAL,RECOMMENDED FOR SPRAY CHLORANTRANILOPROLE 185  SC   1 ML   3 LIT OF WATER,0.737768,6.284373597661576e-05
ARUM,caterpillar,ODISHA,RECOMMENDED TO SPRAY TRIAZAPHOS 40 EC  25 ML IN 1 LITRE OF WATER LEAF EATING CATERPILLAR IN ARUM,RECOMMENDED FOR SPRAY CHLORPYRIPHOS 50  CYPERMETHRIN 5 (55 EC)   15 ML  LIT OF WATER,RECOMMENDED FOR SPRAY ETHIPROLE 40  IMIDACLOPRID 40 (80 WG)    1 ML  3 LIT OF WATER,RECOMMENDED  FOR SPRAY DIMETHOATE 30EC  2 ML  LIT OF WATER 1215 DAYS INTERVAL,RECOMMENDED FOR SPRAY CHLORANTRANILOPROLE 185  SC   1 ML   3 LIT OF WATER,0.740984,6.284373597661576e-05
ARUM,aphids,WEST BENGAL,RECOMMENDED TO SPRAY ROGER  2 GM  LITRE WATER WITH A STICKER TO CONTROL APHIDS IN ARUM,RECOMMENDED TO SPRAY DIMETHOATE 30 EC 2ML  TEEPOL 1ML  1 LITER OF WATER,RECOMMENDED FOR SPRAY IMIDACLOPRID 178 SL  1 ML   3 LIT OF WATER,Spray super confidor 10 ml 15 liter of water(Imida 178 sl)Bayer,RECOMMENDED FOR SPRAY  ACEPHATE 75 SP  15 GM  2 LIT OF WATER,0.570492,6.284373597661576e-05
ARUM,blight,WEST BENGAL,Recommended to spray MetalaxylMancozeb 25gm per litre of water to control leaf blight in arum,LEAF BLIGHT IN ARUM  SPRAY MANCOZEB 2 GM  RIDOMIL 2 GM PER LITRE TWICE AT 15 DAYS INTERVAL,Recommended to spray Mancozeb 75 WP 2gm per litre of water to control Leaf Blight in Arum,RECOMMENDED TO SPRAY SAAF OR SIXER 3GM  PLANTOMYCINE 1GM  TEEPOL 1ML  1 LITER OF WATER,RECOMMENDED TO APPLY REDOMIL MZ 25GM IN 1 LITRE WATER TO CONTROL  LEAF BLIGHT IN ARUM,0.553113,6.284373597661576e-05
ARUM,sucking pest,MADHYA PRADESH,RECOMMENDED TO SPRAY DIMETHOATE(ROGOR)2ML  TEEPOL 1ML  1 LITER OF WATER,recommended spray in Imidichlorideprid 178 57 ml15 liter per pump,SPRAY DICHLOROVOS  2 ML1 LITRE OF WATER FOR SUCKING PEST IN ARUM,RECOMMENDED FOR SPRAY  ACEPHATE 75 SP  15 GM  2 LIT OF WATER,Suggested Imidacloprid 178 sl 5 mlpump  spray,1.015817,6.284373597661576e-05
Acid Lime,white fly,TAMILNADU,APNI ACEPHATE 50  IMIDACLOPRID 18 (518)  2 GRAM KORE PROTI LITTER JOLLE GULLE SPRAY KARUN,spray with Copper Oxychloride 50 WP  2 gram  Imidacloprid 178 SL  1 mlliter of water,spraying of trizophos 400ml200lt next agrominmax 1kgchelaminzinc 400gms200lt,control of white fly in lemon spray monocrotohos  1 ml  liter water per acre,RECOMMENDED FOR SPRAY   AZADIRACHTIN 1 EC(10000 PPM )  3 ML  LIT OF WATER,3.8284260000000003,0.00034332565179978424
Acid Lime,canker,MAHARASHTRA,Recommended for spray copper oxychloride 50 WP(Blue copper) 25 g li of water at fortnight intervals,SPRAY COPPER OXYCHLORIDE 30 G AND PLANTOMYCIN 15 G IN 15 LITRES OF WATER FOR CITRUS CANKER IN LIME,recommended for spray copperoxy chloride 25 gm  acre  Streptomycin sulphate 100 gm  litre of water,recommended for streptomycin 1 gram 10 litre of water  copper oxy chloride 3 gram 1 litre of water,Copper oxychloride (COC) 03 is done followed by 4 sprayings with Streptocyclin100 ppm  COC 15 kgha,1.8035349999999999,0.00034332565179978424
Acid Lime,mealybug,WEST BENGAL,RECOMMENDED FOR SPRAY ACEPHATE 75 SP  15 GM  2 LIT OF WATER,         2   1       ,No answer,No answer,No answer,2.28037,0.00034332565179978424
Acid Lime,leaf miner,MAHARASHTRA,Recommended for spray Neem seed kernel extract (NSKE) 50 ml khadi soap liquid 10 ml  litre of water,RECOMMENDED TO SPRAY DICHLORVOS  (NUVON) 250 ML  200 LITRES OF WATER   ACRE     250     200       ,control of leaf minor in leaf minor spray rogor  625 ml in 500 liter water per acre,control of leaf minor in kinnow spray metasistox  750 ml  500 liter water per acre,RECOMMENDED TO USE OXY DEMETON METHYL (META SYSTOX) 400 ML PER ACRE      400  ,4.150972,0.00034332565179978424
Acid Lime,scab,WEST BENGAL,RECOMMENDED SPRAY CARBENDAZIM 15GMLTR WATER AT AN INTERVAL OF 10 DAYS FOR FRUIT SCAB IN ACID LIME,Recommended to spray  Azoxystrobin  23 Sc  200ml Per acre to control Scab disease in Acid lime ,Recommended for Scab in acid lemon spray Carbendazim 2g  litre of water,copper oxy chloride 3g in 1lt of waterstreptomycin 05g in 1lt of water,RECOMMENDED FOR SPRAY   COPPER OXYCHLORIDE 50WP  4 GM  LIT OF WATER,1.4542389999999998,0.00034332565179978424
