Crop,Problem,State,Ans1,Ans2,Ans3,Ans4,Ans5,Time
ARUM,caterpillar,WEST BENGAL,RECOMMENDED FOR SPRAY CHLORPYRIPHOS 50  CYPERMETHRIN 5 (55 EC)   15 ML  LIT OF WATER,RECOMMENDED FOR SPRAY ETHIPROLE 40  IMIDACLOPRID 40 (80 WG)    1 ML  3 LIT OF WATER,RECOMMENDED  FOR SPRAY DIMETHOATE 30EC  2 ML  LIT OF WATER 1215 DAYS INTERVAL,SPRAY ACITAMIPRID  020 GMLIT OF WATER GIVE 23 SPRAY AT 1012 DAYS INTERVAL,RECOMMENDED FOR SPRAY CHLORANTRANILOPROLE 185  SC   1 ML   3 LIT OF WATER,0.518787
ARUM,caterpillar,ODISHA,RECOMMENDED TO SPRAY TRIAZAPHOS 40 EC  25 ML IN 1 LITRE OF WATER LEAF EATING CATERPILLAR IN ARUM,RECOMMENDED TO SPRAY TRIAZOPHOS 40 EC 25ML  TEEPOL 1ML  1 LITER OF WATER,RECOMMENDED TO SPRAY CATRAP HYDROCHLORDIDE (CALDAN)2ML1 LITER OF WATER,CATERPILLAR IN ARUM  SPRAY CHLOROPYRIPHOS 2 ML PER LITRE OF WATER,CATERPILLAR  SPRAY CHLOROPYRIPHOS 20 EC 2 ML PER LITRE OF WATER,0.396705
ARUM,aphids,WEST BENGAL,RECOMMENDED FOR SPRAY IMIDACLOPRID 178 SL  1 ML   3 LIT OF WATER,RECOMMENDED FOR SPRAY  ACEPHATE 75 SP  15 GM  2 LIT OF WATER,RECOMMENDED FOR SPRAY ACEPHATE 75 SP  15 GM  2 LIT OF WATER,RECOMMENDED FOR SPRAY Buprofezin 25 SC  1 MLLIT OF WATER,RECOMMENDED FOR SPRAY DIMETHOED 30EC  2ML LIT OF WATER,0.453072
ARUM,blight,WEST BENGAL,RECOMMENDED FOR SPRAY CARBENDAZIM 12  MANCOZEB 63 (75 WP)   2 GM   LITER OF WATER,RECOMMENDED FOR SPRAY CARBENDAZIM 12  MANCOZEB 63 (75 WP)   2 GM   LITER OF WATER,RECOMMENDED FOR SPRAY CARBENDAZIM 12  MANCOZEB 63 (75 WP)   15 GM   LIT OF WATER,RECOMMENDED FOR SPRAY CARBENDAZIM 12  MANCOZEB 63 (75 WP)   2 GM   LIT OF WATER,RECOMMENDED FOR SPRAY CARBENDAZIM 12  MANCOZEB 63 (75 WP)   2 GM   LIT OF WATER,0.448135
ARUM,sucking pest,MADHYA PRADESH,recommended spray in Imidichlorideprid 178 57 ml15 liter per pump,No answer,No answer,No answer,No answer,0.407543
Acid Lime,white fly,TAMILNADU,Recommended for Acid lemon white fly spray neem oil 3 ml teepol 1 mlliter,recommended for Spray with 2 ml of chloropyriphos per litre of water,Recommended for spray Azadirachtin 3 ml  Teepol 1 ml litre of water,Recommended for spray Azadirachtin 3 ml  Teepol 1 ml litre of water,Recommended for spray Azadirachtin 3 ml  Teepol 1 ml litre of water,0.836526
Acid Lime,canker,MAHARASHTRA,attack of citrus cancker on lime spray 5gm streptomycin  20gm copper oxycloride 15 lit of water,CITRUS CANKER IN ACID LIME  TO spray blue copper 30 gram    streptocyclean 4 gm15 Lit of Water,spraying streptocycline 1 gram  copper oxychloride 30 gram in 15 liter of water,Spray the striptocyclean 1 g  copper oxychloride 20 g in 10 liters of water,cancker attack on limespray redomil gold 30gmkarate 15ml15 lit of water,0.578235
Acid Lime,mealybug,WEST BENGAL,RECOMMENDED FOR SPRAY ACEPHATE 75 SP  15 GM  2 LIT OF WATER,No answer,No answer,No answer,No answer,0.511259
Acid Lime,leaf miner,MAHARASHTRA,LEAF MINER ATTACK ON ACID LIMESpray polytrin c 35 ml15 liter of water,spray of Neemboli  ark 20 ml15 liter of water,Spray Azadirictine 30 ml15 Liter of Water,Spray Azadirictine 30 ml15 Liter of Water,Spray polytrin c 35 ml15 liter of water,0.797786
Acid Lime,scab,WEST BENGAL,RECOMMENDED FOR SPRAY   COPPER OXYCHLORIDE 50WP  4 GM  LIT OF WATER,RECOMMENDED FOR SPRAY  CARBENDAZIM 50 WP  1 GM   LIT OF WATER,No answer,No answer,No answer,0.442059
African Sarson,aphid,MAHARASHTRA,Attack of AphidsSpray super confidor 10 ml 15 liter of water(Imida 178 sl)Bayer,Spray super confidor 10 ml 15 liter of water(Imida 178 sl)Bayer,Spray super confidor 10 ml 15 liter of water(Imida 178 sl)Bayer,Spray Roger 15 ml15 Liter of Water(Dimethoate)Cheminova,Spray Karate15ml15 Lit of Water,0.421269
African Sarson,caterpillar,PUNJAB,spray 50 ml corazen 185 sl or 200 ml indoxa carb 158 ec in 100 lt of water per acre,spray 50 ml corazen 185 sl or 200 ml indoxa carb 158 ec in 100 lt of water per acre,spray 50 ml corazen 185 sl or 200 ml indoxa carb 158 ec in 100 lt of water per acre,spray 50 ml corazen 185 sl or 200 ml indoxa carb 158 ec in 100 lt of water per acre,SPRAY OF TRACER  60 ML IN 100 LITRES OF WATER PER ACRE,0.40374
African Sarson,stem rot,MAHARASHTRA,No answer,No answer,No answer,No answer,No answer,0.433432
African Sarson,yellow,MAHARASHTRA,No answer,No answer,No answer,No answer,No answer,0.433445
African Sarson,Powdery mildew,MAHARASHTRA,No answer,No answer,No answer,No answer,No answer,0.427254
Almond,pode borer,BIHAR,Spray quinolphos  1 ml in one liter Of water,No answer,No answer,No answer,No answer,0.353999
Almond,aphid,MADHYA PRADESH,No answer,No answer,No answer,No answer,No answer,0.394334
Almond,canker,TAMILNADU,No answer,No answer,No answer,No answer,No answer,0.344943
Almond,sucking pest,ANDHRA PRADESH,RECOMMENDED TO SPRAY PROFENOFOS 2 ML1LITRES OF WATER,RECOMMENDED TO SPRAY IMIDACHLOPRID 160 ML PER ACRE,   1  200                    60   150         ,No answer,No answer,0.344901
Almond,termite,RAJASTHAN,USE IMIDACHLOPRID 178 SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE,USE CLOROPAYRIPHOS 20 EC 2 MLLTR WATER DRENCHING OF PLANT,USE CHLOROPYRIFOS 20 EC 10 ML PER PALNT WITH 10 LIT WATER,USE CHLOROPYRIFOS 20 EC 2 ML PER LITER WATER IN ROOT ZONE,USE CHLOROPYRIFOS 20 EC 30 ML PER PALNT WITH IRRIGATION,0.438496
Aloe Vera,stem rote,WEST BENGAL,RECOMMENDED FOR SPRAY TRICHODERMA VIRIDE  5 GM  PSEUDOMONAS FLUORESCENCE  5 GM   LIT OF WATER,RECOMMENDED FOR SPRAY   TRICHODARMA VIRIDE  5 GM   PSEUDMONAS FLUORESCENS  5 GM  LIT OF WATER,RECOMMENDED FOR SPRAY TRICHODARMA VIRIDE  5 GM  PSEUDMONAS FLUORESCENS  5 GM  1 LIT OF WATER,RECOMMENDED FOR SPRAY   PSEUDMONAS FLUORESCENS  5 GMTRICHODARMA VIRIDE  5 GM  1 LIT OF WATER,RECOMMENDED FOR SPRAY TRICHODARMA VIRIDE  5 GM  PSEUDMONAS FLUORESCENS  5 GM  LIT OF WATER,0.438045
Aloe Vera,rust,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.525919
Aloe Vera,aphid,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.541202
Aloe Vera,Anthracnose,TRIPURA,No answer,No answer,No answer,No answer,No answer,0.316557
Aloe Vera,aphid,RAJASTHAN,No answer,No answer,No answer,No answer,No answer,0.452461
Amarphophallus (SurankandElephant Foot Yam),collar rot,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.541223
Amarphophallus (SurankandElephant Foot Yam),mosaic,KERALA,No answer,No answer,No answer,No answer,No answer,0.356961
Amarphophallus (SurankandElephant Foot Yam),leaf spot,KERALA,spray neem azhal  2 mllitter of water or malathion 2 mllitter of water,Recommended to spray pseudomonas 10 gram in 1 litres of water,spray pseudomonas 20 glitter of water,No answer,No answer,0.377354
Amarphophallus (SurankandElephant Foot Yam),collar rot,KERALA,Recommended to spray and drench pseudomonas 20 g per liter of water Repeat at weekly intervals,Recommended to spray and drench pseudomonas 20 g per liter of water Repeat at weekly intervals,No answer,No answer,No answer,0.380103
Amarphophallus (SurankandElephant Foot Yam),blight,UTTAR PRADESH,kisan bhaiCarbendazim 12  Mancozeb 63 WP 300 GRAMACRE 200 LITER PAANI KI DAR SE SPRAY KARE,Mancozeb 75 WP 2 gram litre of water,No answer,No answer,No answer,0.487001
Aonla,blight,RAJASTHAN,SPRAY OF STREPTOCYCLEAN 2 GM 15 LITER WATER  COPPER OXICHLORIDE 3 GM LITER WATER,SPRAY OF STREPTOCYCLEAN 2 GM 15 LITER WATER  COPPER OXICHLORIDE 3 GM LITER WATER,SPRAY OF COPPER OXICHLORIDE 45 GM   STREPTOCYCLIN 15 GM PER 15 LITER WATER,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 15 GM PER 15 LITER WATER,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 15 GM PER 15 LITER WATER,0.605562
Aonla,leaf roller,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,1.644835
Aonla,yellowing,BIHAR,SPRAY COPPER OXY CHLORIDE 2 GRAMLITRE OF WATERSPRAY PLANOFIX 1 ML5LITRE OF WATER,Spray copper oxychloride  2 gram in 1 litre of water,Spray copper oxycloride  2 gram in 1 litre of water,spray zinc (5 gram ) urea (10 gram ) liter of water,spray mancozeb  2 g  litre  water,0.423416
Aonla,fruit borer,TAMILNADU,Recommended for spray  Azadirachtin 3 ml  teepol 1 ml lit of water,Recommended for spray Profenophos 2 ml  litre of water,recommended for spray thiocloprid 15 ml1 lit of water,recommended for spray Azadirachtin  3 ml lit of water,recommended for spray neem oil 3 ml  litre of water,0.461769
Aonla,lichen,HIMACHAL PRADESH,Control lichen in apple plants are spray caustic soda  2kg200litre of water,Lichen in apple plants are spray caustic soda  2kg200litre of water,No answer,No answer,No answer,0.355604
Apple,hail,HIMACHAL PRADESH,The hail affected apple orchards be spray with urea (1kg)  Mancozeb (500 gm) Per 200 Liter of water,The hail affected apple orchards be spray with urea (1kg)  Mancozeb (500 gm) Per 200 Liter of water,The hail affected apple orchards be spray with urea (1kg)  Mancozeb (500 gm) Per 200 Liter of water,The hail affected apple orchards be spray with urea (1kg)  Mancozeb (500 gm) Per 200 Liter of water,The hail affected apple orchards be spray with urea (1kg)  Mancozeb (500 gm) Per 200 Liter of water,8.892078
Apple,scab,JAMMU AND KASHMIR,spray Governor (40 EC)  20 ml or WAVE ( 75 WP)  50 gm or Cabrio Top (60 WG)  100 gm in 100 lt water,spray Governor (40 EC)  20 ml or WAVE ( 75 WP)  50 gm or Cabrio Top (60 WG)  100 gm in 100 lt water,Flusilazole 40 EC (20 ml) or Metiram 55  Pyraclostrobin 5 60 WG (100 g) or Myclobutanil 10WP (50 g),spray Trifloxystrobin 25  Tebuconazole50 75 WG (40 g) orTebuconazole 25 EW (50 ml) in 100 lt water,spray with ziram 80wp  200gm in 100litres of water and also mix sticker  125gm in this solution,6.9894
Apple,canker,JAMMU AND KASHMIR,MIX 1 KG COPPER  2 KG LIME IN 30 LTRS OF WATER AND  CLEAN THE STEM WITH SHARP KNIFE AND PAINT ON IT,CLEAN THE STEM WITH SHARP KNIFE AND APPLY BORDEAUX OR CHAUBATIA PASTE ON ITREPEAT IT AFTER 3 MONTHS,CLEAN THE AREA WITH SHARP KNIFE AND APPLY BORDEAUX PASTE OR CHAUBITTIA PASTE ON THE AFFECTED AREA ,CLEAN THE AREA WITH SHARP KNIFE AND APPLY BORDEAUX PASTE OR CHAUBITIYA PASTE ON THE AFFECTED AREA ,CLEAN THE AREA WITH SHARP KNIFE AND APPLY BORDEAUX PASTE OR CHAUBITTIA PASTE ON THE AFFECTED AREA ,9.540423
Apple,Powdery mildew,HIMACHAL PRADESH,Spray carbendazim 100 gram or Hexaconazole 100ml200 liter water for control powdery mildew in apple,Spray Hexaconazol or carbendazim100 gram200 liter water for control powdery mildew in apple nursery,control powdery mildew in apple is spray indofil m45  500 gram  bavistin  100gram200 litre of water,Spray carbendazim or hexaconazol  100  200 liter water for control powdery mildew in apple nursery,Spray of Hexaconazole 5 EC  05 gram  liter of water to control Powdery mildew in Apple nursery,44.457678
Apple,mosaic,JAMMU AND KASHMIR,Flusilazole 40 EC (20 ml) or Captan 70  Hexaconazole 5 75 WP (50 g) or Myclobutanil 10WP (50 g),APPLY IMIDACLOPRID  3 ml in 10 litre water,spray imidacloprid  3ml10 ltrs of water,No answer,No answer,9.601992
Apricot,Powdery mildew,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.495352
Apricot,collar rot,UTTARAKHAND,No answer,No answer,No answer,No answer,No answer,0.322902
Apricot,Frosty mildew,RAJASTHAN,No answer,No answer,No answer,No answer,No answer,0.432183
Apricot,root rot,KERALA,No answer,No answer,No answer,No answer,No answer,0.32382
Apricot,blight,JAMMU AND KASHMIR,copper oxychloride  3gmliter of watercarbendazim  1gmliter of water,No answer,No answer,No answer,No answer,0.34395
Arecanut,die back,KARNATAKA,Spray carbendazim 2 gram per liter of water,Spraying with COC 025 or Mancozeb 02,Spraying with COC 025 or Mancozeb 02,No answer,No answer,1.596656
Arecanut,yellow,KERALA,Application of potassium and magnesium more than the recommended level,In addition of fertilizer apply rock phosphate160gm,No answer,No answer,No answer,0.40951
Arecanut,bud rot,KARNATAKA,       1     3     2     72             30  45             1     2     72            ( )      ,Infected tissues of the bud should be scooped off and treated with 10  Bordeaux paste,drenching crowns of surrounding healthy palms with 1  Bordeaux mixture,SPRAY PSUEDOMONAS FLOROSCENCE  5glit for arecanut to control bud rot,Coconut bud rot managementapply Bordeaux paste,1.438368
Arecanut,fruit rot,TAMILNADU,recommended for Spray with Bordeaux mixture 1 before on set of the monsoon and second spray 4045,              10     ,No answer,No answer,No answer,0.509588
Arecanut,foot rot,KARNATAKA,root feeding tridemorph 15 mili per litre of water in polythene cover,ROOT FEEDING TECHNIQUE WITH TRIDEMORPH ( 15 ML PER LITRE OF WATER),recommendeddrenching with coc at 3g in 1 liter water,drench borbeaux mixture and apply neem cake 2 kg, spot drench with copper oxi chloride3gramliter,1.565785
Ash Gourd (Petha),mildew,ASSAM,SUGGESTED TO MIX SAAF 1 GMLITER OF WATER AND THEN SPRAY,TOLD HIM TO SPRAY SULPHUR FUNGICIDE  2GM  L OF WATER,SUGGESTED TO SPRAY BAVISTIN  2 GM PER LITER OF WATER,SUGGESTED TO SPRAY BAVISTIN  1GM PER LITRE OF WATER,ADVISED HIM TO APPLY BAVISTIN  1 GM  LITER OF WATER,0.381894
Ash Gourd (Petha),fly,ASSAM,RECOMMENDED TO SPRAY MALATHION 50 EC(KILLER)2 MLLIT WATER MIX IT WITH MOLASSES(GUR)10 GRAMLIT WATER,RECOMMENDED TO SPRAY MALATHION 50 EC(KILLER)2 MLLIT WATER MIX WITH MOLASSES (GUR) 10 GRAMLIT WATER,SUGGESTED TO SPRAY MALATHION 50EC  2ML OR CONFIDENCE 555  1ML  1 GM OF MOLASESLITRE OF WATER,SUGGESTED TO SPRAY MALATHION 50EC  2ML OR CONFIDENCE 555  1ML  1GM OF MOLASESLITRE OF WATER,RECOMMENDED TO SPRAY MALATHION 50 EC2MLLIT WATER MIX WITH MOLASSES(GUR)10 GRAMLIT WATER,0.3577
Ash Gourd (Petha),fruit borer,MAHARASHTRA,                                  ,Spray fame 5ml15 Lit of Water,No answer,No answer,No answer,0.492643
Ash Gourd (Petha),thrips,TAMILNADU,Recommended for spray imidacloprid 5 ml  neem oil 30 ml  sticking agent 5 ml  10 liter of water,                    3          ( 10                10        10              30           9    ,Recommended for spray Dimethoate 2ml  neem oil3ml  sticking agent 05ml 1 litre of water,Recommended for spray Neem oil 3ml  1 ml sticking agent   lit of water,Recommended for spray imidacloprid 4 ml  10 litre of water,0.571039
Ash Gourd (Petha),mosaic,TAMILNADU,Recommended for spray imidacloprid 5 ml  neem oil 30 ml   sticking agent 10 ml  10 litre of water,recommended for ash gourd  mosaic virus spray dimethoate 2mlneem oil 3mlteepol 1mllit of water,Recommended for Ash gourd  mosaic virus spray dimethoate 2mlneem oil 3mlteepol 1mllit of water,recommended ash gourd  mosaic virus spray dimethoate 2mlneem oil 3mlteepol 1mllit of water,recommended for spraying Acetamiprid (pride)at the rate of 4 gram in 10 litres of water,0.557404
