StateName,Geolocation
ANDHRA PRADESH,"14.919247819551158, 78.71643534918947"
ASSAM,"26.41254411231686, 92.3523084760017"
BIHAR,"25.442612274637657, 85.68092200783789"
GUJARAT,"22.775505260925744, 70.71754306700034"
HARYANA,"28.9594468978197, 76.16676195210799"
HIMACHAL PRADESH,"31.64645811289944, 77.14067983791813"
JAMMU AND KASHMIR,"34.605887171454675, 76.58201238210155"
KARNATAKA,"14.292004119483133, 75.7268779960647"
KERALA,"10.47262573402254, 76.36408505865968"
MADHYA PRADESH,"23.004861296086833, 76.60578427740964"
MAHARASHTRA,"19.814196575952746, 75.6609600121826"
MANIPUR,"24.832550245388383, 93.78840195021641"
MEGHALAYA,"25.449170040849896, 91.2395736998365"
NAGALAND,"26.31896478570094, 94.66730824345089"
ODISHA,"21.09059174138748, 84.62580384324721"
PUNJAB,"30.794645158386167, 75.1995344049513"
RAJASTHAN,"26.96706485487167, 72.7385967838948"
TAMILNADU,"11.098572744945942, 78.49543284461294"
TRIPURA,"23.887285685974593, 91.72014033321722"
UTTAR PRADESH,"28.15993660045916, 79.6795895463691"
WEST BENGAL,"22.85658900674312, 87.12985651606304"
SIKKIM,"27.380332563467366, 88.38847808595779"
CHHATTISGARH,"21.772140196914624, 82.04284602027208"
JHARKAND,"23.51603287521151, 85.40466259189388"
UTTARAKHAND,"30.327736542596398, 78.92272889221948"
TELANGANA,"17.59416857858748, 78.92272890735158"
A AND N ISLANDS,"12.267428106718166, 92.76550276206409"
ARUNACHAL PRADESH,"28.721006738990894, 94.90779086292187"
DELHI,"28.633822530505427, 77.06199068135192"
MIZORAM,"23.676909984758815, 92.89232810296859"
PUDUCHERRY,"11.912852277747906, 79.77464118272077"
DAMAN AND DIU,"20.21719355510092, 73.02454558232921"
